date,code,close,pbMRQ,isST,ave_close,ave_pbMRQ,code_name,totalShare,marketCapitalization
2018-04-10,sz.000021,8.56,2.16741,0,8.64,2.1876664000000003,深科技,1471259363.0,12711680896.320002
2018-04-17,sz.000021,8.55,2.1478450000000002,0,8.75,2.2015814,深科技,1471259363.0,12873519426.25
2018-04-24,sz.000021,9.65,2.4241759999999997,0,9.504,2.3874994000000003,深科技,1471259363.0,13982848985.952
2018-05-03,sz.000021,9.03,2.271039,0,9.312,2.3403032,深科技,1471259363.0,13700367188.255999
2018-05-10,sz.000021,8.84,2.223255,0,8.942000000000002,2.2489076,深科技,1471259363.0,13156001223.946003
2018-05-17,sz.000021,8.42,2.117625,0,8.544,2.1488110000000002,深科技,1471259363.0,12570439997.472
2018-05-24,sz.000021,8.51,2.14026,0,8.51,2.14026,深科技,1471259363.0,12520417179.13
2018-05-31,sz.000021,8.01,2.01451,0,8.129999999999999,2.04469,深科技,1471259363.0,11961338621.189999
2018-06-07,sz.000021,8.01,2.01451,0,8.02,2.017025,深科技,1471259363.0,11799500091.26
2018-06-14,sz.000021,7.72,1.941575,0,7.784000000000002,1.957671,深科技,1471259363.0,11452282881.592003
2018-06-22,sz.000021,6.44,1.619656,0,6.766,1.7016447999999995,深科技,1471259363.0,9954540850.058
2018-06-29,sz.000021,6.82,1.715226,0,6.619999999999999,1.664926,深科技,1471259363.0,9739736983.06
2018-04-10,sz.000063,30.7,4.067227,0,30.311999999999994,4.0158236,中兴通讯,4192671843.0,127088268905.01598
2018-04-17,sz.000063,31.31,4.148042,0,31.331999999999997,4.1509566,中兴通讯,4192671843.0,131364794184.87599
2018-04-24,sz.000063,31.31,4.148042,0,31.309999999999995,4.148042,中兴通讯,4192671843.0,131272555404.32999
2018-05-03,sz.000063,31.31,4.0918220000000005,0,31.309999999999995,4.125554,中兴通讯,4192671843.0,131272555404.32999
2018-05-10,sz.000063,31.31,4.0918220000000005,0,31.309999999999995,4.0918220000000005,中兴通讯,4192671843.0,131272555404.32999
2018-05-17,sz.000063,31.31,4.0918220000000005,0,31.309999999999995,4.0918220000000005,中兴通讯,4192671843.0,131272555404.32999
2018-05-24,sz.000063,31.31,4.0918220000000005,0,31.309999999999995,4.0918220000000005,中兴通讯,4192671843.0,131272555404.32999
2018-05-31,sz.000063,31.31,4.0918220000000005,0,31.309999999999995,4.0918220000000005,中兴通讯,4192671843.0,131272555404.32999
2018-06-07,sz.000063,31.31,4.0918220000000005,0,31.309999999999995,4.0918220000000005,中兴通讯,4192671843.0,131272555404.32999
2018-06-14,sz.000063,25.36,3.314232,0,29.493999999999996,3.8544935999999987,中兴通讯,4192671843.0,123658663337.44199
2018-06-22,sz.000063,14.98,1.957697,0,18.694000000000003,2.44307,中兴通讯,4192671843.0,78377807433.042
2018-06-29,sz.000063,13.03,1.7028560000000001,0,13.112,1.7135728,中兴通讯,4192671843.0,54974313205.416
2018-04-10,sz.000066,8.25,3.5737910000000004,0,8.41,3.643101,中国长城,2944069459.0,24759624150.19
2018-04-17,sz.000066,8.78,3.80338,0,8.67,3.7557294000000003,中国长城,2944069459.0,25525082209.53
2018-04-24,sz.000066,9.2,3.985319,0,9.358,4.053762399999999,中国长城,2944069459.0,27550601997.322002
2018-05-03,sz.000066,8.8,3.9713830000000003,0,8.978,3.952597,中国长城,2944069459.0,26431855602.902
2018-05-10,sz.000066,8.8,3.9713830000000003,0,8.87,4.002974,中国长城,2944069459.0,26113896101.329998
2018-05-17,sz.000066,8.31,3.75025,0,8.27,3.732198,中国长城,2944069459.0,24347454425.93
2018-05-24,sz.000066,8.58,3.872099,0,8.51,3.8405084,中国长城,2944069459.0,25054031096.09
2018-05-31,sz.000066,7.9,3.5652190000000004,0,8.104,3.6572832,中国长城,2944069459.0,23858738895.735996
2018-06-07,sz.000066,7.82,3.529116,0,7.8080000000000025,3.5237004,中国长城,2944069459.0,22987294335.872005
2018-06-14,sz.000066,7.38,3.330547,0,7.508000000000001,3.3883120000000004,中国长城,2944069459.0,22104073498.172
2018-06-22,sz.000066,6.37,2.87474,0,6.6560000000000015,3.0038099999999996,中国长城,2944069459.0,19595726319.104004
2018-06-29,sz.000066,7.11,3.208697,0,6.710000000000001,3.0281800000000003,中国长城,2944069459.0,19754706069.890003
2018-04-10,sz.000100,3.47,1.906579,0,3.4519999999999995,1.8966892,TCL科技,13514972063.0,46653683561.47599
2018-04-17,sz.000100,3.35,1.840646,0,3.4220000000000006,1.8802058,TCL科技,13514972063.0,46248234399.586006
2018-04-24,sz.000100,3.28,1.802185,0,3.26,1.7911956000000002,TCL科技,13514972063.0,44058808925.38
2018-05-03,sz.000100,3.35,1.4555690000000001,0,3.294,1.6579152,TCL科技,13514972063.0,44518317975.522
2018-05-10,sz.000100,3.33,1.446879,0,3.342,1.452093,TCL科技,13514972063.0,45167036634.546
2018-05-17,sz.000100,3.23,1.40703,0,3.282,1.4274724,TCL科技,13514972063.0,44356138310.766
2018-05-24,sz.000100,3.24,1.411386,0,3.264,1.4218412,TCL科技,13514972063.0,44112868813.631996
